,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Andaman and Nicobar Islands,7633,7494,129,10,
1,2021-10-11 21:51,Andaman and Nicobar Islands,7634,7495,129,10,1.0
2,2021-10-12 21:19,Andaman and Nicobar Islands,7635,7498,129,8,1.0
3,2021-10-13 19:55,Andaman and Nicobar Islands,7637,7499,129,9,2.0
4,2021-10-14 20:35,Andaman and Nicobar Islands,7640,7501,129,10,3.0
5,2021-10-16 13:28,Andaman and Nicobar Islands,7641,7503,129,9,1.0
6,2021-10-17 22:08,Andaman and Nicobar Islands,7642,7505,129,8,1.0
7,2021-10-18 22:22,Andaman and Nicobar Islands,7642,7506,129,7,0.0
8,2021-10-19 21:07,Andaman and Nicobar Islands,7646,7509,129,8,4.0
9,2021-10-20 23:12,Andaman and Nicobar Islands,7646,7511,129,6,0.0
10,2021-10-21 10:28,Andaman and Nicobar Islands,7646,7510,129,7,0.0
