,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Andhra Pradesh,2057252,2035054,14254,7944,
1,2021-10-11 14:26,Andhra Pradesh,2057562,2036048,14256,7258,310.0
2,2021-10-12 18:19,Andhra Pradesh,2058065,2036865,14268,6932,503.0
3,2021-10-13 11:55,Andhra Pradesh,2058582,2037691,14276,6615,517.0
4,2021-10-14 18:35,Andhra Pradesh,2059122,2038248,14286,6588,540.0
5,2021-10-15 16:09,Andhra Pradesh,2059708,2038960,14295,6453,586.0
6,2021-10-16 20:18,Andhra Pradesh,2060040,2039545,14302,6193,332.0
7,2021-10-17 19:03,Andhra Pradesh,2060472,2040131,14307,6034,432.0
8,2021-10-18 20:51,Andhra Pradesh,2060804,2040782,14313,5709,332.0
9,2021-10-19 17:07,Andhra Pradesh,2061287,2041316,14317,5654,483.0
10,2021-10-20 23:12,Andhra Pradesh,2061810,2041924,14320,5566,523.0
11,2021-10-21 12:29,Andhra Pradesh,2062303,2042476,14327,5500,493.0
