,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Arunachal Pradesh,54900,54354,280,266,
1,2021-10-11 21:51,Arunachal Pradesh,54924,54412,280,232,24.0
2,2021-10-12 23:49,Arunachal Pradesh,54942,54426,280,236,18.0
3,2021-10-13 21:56,Arunachal Pradesh,54954,54450,280,224,12.0
4,2021-10-15 13:58,Arunachal Pradesh,54958,54476,280,202,4.0
5,2021-10-15 22:28,Arunachal Pradesh,54964,54501,280,183,6.0
6,2021-10-16 22:19,Arunachal Pradesh,54980,54530,280,170,16.0
7,2021-10-17 22:08,Arunachal Pradesh,54987,54567,280,140,7.0
8,2021-10-18 22:22,Arunachal Pradesh,55014,54589,280,145,27.0
9,2021-10-19 22:07,Arunachal Pradesh,55031,54606,280,145,17.0
10,2021-10-20 23:12,Arunachal Pradesh,55043,54625,280,138,12.0
11,2021-10-21 22:35,Arunachal Pradesh,55065,54645,280,140,22.0
12,2021-10-22 22:15,Arunachal Pradesh,55075,54654,280,141,10.0
13,2021-10-24 12:33,Arunachal Pradesh,55089,54667,280,142,14.0
14,2021-10-24 21:04,Arunachal Pradesh,55089,54677,280,132,0.0
15,2021-10-25 21:37,Arunachal Pradesh,55105,54687,280,138,16.0
16,2021-10-26 23:28,Arunachal Pradesh,55114,54697,280,137,9.0
17,2021-10-28 08:30,Arunachal Pradesh,55120,54725,280,115,6.0
