,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Assam,604969,595091,5926,2605,
1,2021-10-11 23:26,Assam,605239,595314,5931,2647,270.0
2,2021-10-12 21:19,Assam,605465,595520,5934,2664,226.0
3,2021-10-13 22:49,Assam,605640,595901,5936,2456,175.0
4,2021-10-14 22:35,Assam,605847,596263,5938,2299,207.0
5,2021-10-15 22:28,Assam,605994,596547,5939,2161,147.0
6,2021-10-16 22:19,Assam,606263,596837,5944,2135,269.0
7,2021-10-17 22:08,Assam,606468,597082,5950,2089,205.0
8,2021-10-18 22:22,Assam,606766,597348,5957,2114,298.0
9,2021-10-19 21:07,Assam,607119,597577,5957,2238,353.0
10,2021-10-20 23:12,Assam,607427,597859,5958,2263,308.0
11,2021-10-21 22:32,Assam,607811,598087,5962,2415,384.0
12,2021-10-22 22:15,Assam,608126,598296,5964,2519,315.0
13,2021-10-23 21:22,Assam,608450,598515,5967,2621,324.0
14,2021-10-24 21:04,Assam,608589,598759,5973,2510,139.0
15,2021-10-25 21:37,Assam,608915,599055,5978,2535,326.0
16,2021-10-26 23:28,Assam,609262,599290,5981,2644,347.0
17,2021-10-27 21:12,Assam,609506,599681,5987,2491,244.0
18,2021-10-28 22:02,Assam,609828,600089,5989,2403,322.0
19,2021-10-29 21:27,Assam,610150,600367,5992,2444,322.0
20,2021-10-30 23:31,Assam,610433,600738,5996,2352,283.0
