,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Bihar,725996,716300,9661,34,
1,2021-10-11 21:51,Bihar,725998,716301,9661,35,2.0
2,2021-10-12 22:20,Bihar,726004,716305,9661,37,6.0
3,2021-10-13 20:55,Bihar,726008,716311,9661,35,4.0
4,2021-10-14 22:35,Bihar,726016,716313,9661,41,8.0
5,2021-10-15 22:28,Bihar,726021,716314,9661,45,5.0
6,2021-10-16 22:19,Bihar,726021,716316,9661,43,0.0
7,2021-10-17 21:08,Bihar,726026,716317,9661,47,5.0
8,2021-10-18 22:22,Bihar,726028,716323,9661,43,2.0
9,2021-10-19 20:07,Bihar,726031,716327,9661,42,3.0
10,2021-10-19 21:07,Bihar,726033,716330,9661,41,2.0
11,2021-10-20 23:12,Bihar,726036,716345,9661,29,3.0
12,2021-10-21 22:35,Bihar,726042,716351,9661,29,6.0
13,2021-10-22 22:15,Bihar,726045,716354,9661,29,3.0
