,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Goa,177113,173074,3329,710,
1,2021-10-11 18:26,Goa,177148,173171,3330,647,35.0
2,2021-10-12 18:19,Goa,177228,173252,3332,644,80.0
3,2021-10-13 20:55,Goa,177288,173303,3333,652,60.0
4,2021-10-14 18:35,Goa,177356,173342,3335,679,68.0
5,2021-10-15 16:09,Goa,177410,173423,3339,648,54.0
6,2021-10-16 19:18,Goa,177462,173510,3342,610,52.0
7,2021-10-17 19:03,Goa,177522,173572,3346,604,60.0
8,2021-10-18 17:51,Goa,177579,173629,3350,600,57.0
9,2021-10-19 22:07,Goa,177659,173685,3354,620,80.0
10,2021-10-20 23:12,Goa,177706,173755,3354,597,47.0
11,2021-10-21 12:29,Goa,177765,173790,3357,618,59.0
12,2021-10-22 18:14,Goa,177819,173862,3357,600,54.0
13,2021-10-23 13:21,Goa,177852,173920,3358,574,33.0
14,2021-10-24 20:04,Goa,177886,173983,3358,545,34.0
15,2021-10-25 20:37,Goa,177915,174042,3358,515,29.0
16,2021-10-26 13:28,Goa,177946,174101,3362,483,31.0
17,2021-10-27 18:29,Goa,177969,174152,3363,454,23.0
18,2021-10-28 20:02,Goa,178016,174216,3363,437,47.0
19,2021-10-29 17:27,Goa,178063,174289,3363,411,47.0
20,2021-10-30 20:31,Goa,178085,174339,3364,382,22.0
