,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Gujarat,826141,815872,10086,183,
1,2021-10-11 21:51,Gujarat,826162,815890,10086,186,21.0
2,2021-10-12 23:49,Gujarat,826184,815909,10086,189,22.0
3,2021-10-13 21:56,Gujarat,826210,815929,10086,195,26.0
4,2021-10-14 21:35,Gujarat,826244,815943,10086,215,34.0
5,2021-10-16 13:28,Gujarat,826258,815960,10086,212,14.0
6,2021-10-16 21:18,Gujarat,826280,815981,10086,213,22.0
7,2021-10-17 21:08,Gujarat,826290,815997,10086,207,10.0
8,2021-10-18 22:22,Gujarat,826308,816029,10086,193,18.0
9,2021-10-19 21:07,Gujarat,826326,816055,10086,185,18.0
10,2021-10-20 23:12,Gujarat,826340,816077,10087,176,14.0
11,2021-10-21 21:32,Gujarat,826353,816110,10087,156,13.0
