,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Haryana,770993,760845,9875,273,
1,2021-10-11 18:26,Haryana,771000,760860,9875,265,7.0
2,2021-10-12 20:19,Haryana,771009,760871,9875,263,9.0
3,2021-10-13 19:55,Haryana,771019,760881,9875,263,10.0
4,2021-10-14 22:35,Haryana,771035,760869,10049,117,16.0
5,2021-10-15 21:28,Haryana,771049,760884,10049,116,14.0
6,2021-10-16 20:18,Haryana,771061,760898,10049,114,12.0
7,2021-10-17 21:08,Haryana,771076,760904,10049,123,15.0
8,2021-10-18 22:22,Haryana,771092,760917,10049,126,16.0
9,2021-10-19 21:07,Haryana,771101,760926,10049,126,9.0
10,2021-10-20 23:12,Haryana,771116,760934,10049,133,15.0
11,2021-10-21 21:32,Haryana,771125,760945,10049,131,9.0
12,2021-10-22 20:15,Haryana,771133,760962,10049,122,8.0
13,2021-10-23 20:22,Haryana,771141,760977,10049,115,8.0
14,2021-10-24 21:04,Haryana,771157,760981,10049,127,16.0
15,2021-10-25 21:37,Haryana,771174,760999,10049,126,17.0
16,2021-10-26 20:29,Haryana,771189,761012,10049,128,15.0
17,2021-10-27 21:12,Haryana,771204,761022,10049,133,15.0
18,2021-10-28 21:02,Haryana,771217,761035,10049,133,13.0
19,2021-10-29 20:27,Haryana,771229,761047,10049,133,12.0
