,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Jharkhand,348352,343109,5135,108,
1,2021-10-12 11:18,Jharkhand,348365,343117,5135,113,13.0
2,2021-10-12 23:49,Jharkhand,348381,343126,5135,120,16.0
3,2021-10-14 09:34,Jharkhand,348395,343134,5135,126,14.0
4,2021-10-15 13:58,Jharkhand,348406,343141,5135,130,11.0
5,2021-10-16 13:28,Jharkhand,348415,343150,5135,130,9.0
6,2021-10-17 17:04,Jharkhand,348423,343165,5135,123,8.0
7,2021-10-16 23:29,Jharkhand,348430,343173,5135,122,7.0
8,2021-10-18 23:23,Jharkhand,348444,343184,5135,125,14.0
9,2021-10-20 08:34,Jharkhand,348461,343198,5135,128,17.0
