,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Karnataka,2981027,2932959,37885,10154,
1,2021-10-11 18:26,Karnataka,2981400,2933570,37895,9906,373.0
2,2021-10-12 18:19,Karnataka,2981732,2934085,37906,9712,332.0
3,2021-10-13 11:55,Karnataka,2982089,2934523,37916,9621,357.0
4,2021-10-14 18:35,Karnataka,2982399,2934870,37922,9578,310.0
5,2021-10-15 20:28,Karnataka,2982869,2935238,37931,9671,470.0
6,2021-10-16 19:18,Karnataka,2983133,2935659,37937,9508,264.0
7,2021-10-17 22:08,Karnataka,2983459,2936039,37941,9450,326.0
8,2021-10-18 20:51,Karnataka,2983673,2936527,37953,9164,214.0
9,2021-10-19 17:07,Karnataka,2984022,2936926,37967,9100,349.0
10,2021-10-20 23:12,Karnataka,2984484,2937405,37976,9074,462.0
11,2021-10-21 12:29,Karnataka,2984849,2937848,37984,8988,365.0
12,2021-10-22 20:15,Karnataka,2985227,2938312,37995,8891,378.0
13,2021-10-23 13:21,Karnataka,2985598,2938653,38002,8914,371.0
14,2021-10-24 21:04,Karnataka,2985986,2939239,38007,8711,388.0
15,2021-10-25 20:37,Karnataka,2986276,2939647,38017,8583,290.0
16,2021-10-26 13:28,Karnataka,2986553,2939990,38024,8510,277.0
17,2021-10-27 18:29,Karnataka,2986835,2940339,38037,8430,282.0
18,2021-10-28 20:02,Karnataka,2987313,2940673,38054,8557,478.0
19,2021-10-29 17:27,Karnataka,2987694,2940978,38061,8626,381.0
