,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Kerala,4794800,4656866,26258,111147,
1,2021-10-11 21:51,Kerala,4801796,4673442,26342,101483,6996.0
2,2021-10-12 22:20,Kerala,4809619,4685932,26448,96710,7823.0
3,2021-10-13 21:56,Kerala,4820698,4695904,26571,97694,11079.0
4,2021-10-14 21:35,Kerala,4829944,4706856,26667,95892,9246.0
5,2021-10-16 13:28,Kerala,4838811,4716728,26734,94820,8867.0
6,2021-10-16 19:18,Kerala,4846766,4728497,26791,90949,7955.0
7,2021-10-17 20:08,Kerala,4854321,4739270,26865,87657,7555.0
8,2021-10-18 19:51,Kerala,4860997,4750293,26925,83250,6676.0
9,2021-10-19 20:07,Kerala,4868640,4760781,27002,80328,7643.0
10,2021-10-20 23:12,Kerala,4879790,4769373,27084,82804,11150.0
11,2021-10-21 20:45,Kerala,4888523,4779228,27202,81564,8733.0
12,2021-10-22 21:15,Kerala,4897884,4788629,27765,80961,9361.0
