,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Ladakh,20852,20592,208,52,
1,2021-10-12 11:18,Ladakh,20853,20599,208,46,1.0
2,2021-10-13 10:54,Ladakh,20856,20602,208,46,3.0
3,2021-10-14 10:34,Ladakh,20861,20611,208,42,5.0
4,2021-10-15 13:58,Ladakh,20867,20615,208,44,6.0
5,2021-10-16 13:28,Ladakh,20871,20621,208,42,4.0
6,2021-10-17 17:04,Ladakh,20876,20622,208,46,5.0
7,2021-10-16 23:29,Ladakh,20878,20634,208,36,2.0
8,2021-10-19 01:04,Ladakh,20881,20639,208,34,3.0
9,2021-10-20 09:34,Ladakh,20883,20641,208,34,2.0
10,2021-10-21 09:28,Ladakh,20886,20644,208,34,3.0
11,2021-10-22 08:29,Ladakh,20896,20645,208,43,10.0
12,2021-10-22 23:32,Ladakh,20896,20648,208,40,0.0
13,2021-10-24 12:33,Ladakh,20899,20653,208,38,3.0
14,2021-10-25 09:36,Ladakh,20904,20659,208,37,5.0
15,2021-10-26 09:26,Ladakh,20908,20663,208,37,4.0
16,2021-10-27 10:46,Ladakh,20917,20668,208,41,9.0
17,2021-10-28 11:01,Ladakh,20925,20670,208,47,8.0
18,2021-10-29 09:37,Ladakh,20930,20673,208,49,5.0
19,2021-10-30 10:30,Ladakh,20941,20675,208,58,11.0
20,2021-10-31 13:16,Ladakh,20951,20678,208,65,10.0
21,2021-11-01 08:49,Ladakh,20962,20687,208,67,11.0
