,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Madhya Pradesh,792621,781995,10523,103,
1,2021-10-11 18:26,Madhya Pradesh,792635,782009,10523,103,14.0
2,2021-10-12 23:20,Madhya Pradesh,792647,782015,10523,109,12.0
3,2021-10-14 10:34,Madhya Pradesh,792657,782024,10523,110,10.0
4,2021-10-14 22:35,Madhya Pradesh,792669,782035,10523,111,12.0
5,2021-10-15 22:28,Madhya Pradesh,792675,782046,10523,106,6.0
6,2021-10-16 21:18,Madhya Pradesh,792679,782060,10523,96,4.0
7,2021-10-17 22:08,Madhya Pradesh,792684,782077,10523,84,5.0
8,2021-10-18 20:51,Madhya Pradesh,792690,782083,10523,84,6.0
9,2021-10-19 01:04,Madhya Pradesh,792690,782086,10523,81,0.0
10,2021-10-19 21:07,Madhya Pradesh,792700,782098,10523,79,10.0
11,2021-10-20 23:12,Madhya Pradesh,792709,782104,10523,82,9.0
12,2021-10-21 21:32,Madhya Pradesh,792721,782110,10523,88,12.0
13,2021-10-22 21:15,Madhya Pradesh,792729,782126,10523,80,8.0
14,2021-10-24 12:33,Madhya Pradesh,792740,782138,10523,79,11.0
15,2021-10-25 08:36,Madhya Pradesh,792749,782141,10523,85,9.0
16,2021-10-25 20:37,Madhya Pradesh,792757,782150,10523,84,8.0
17,2021-10-26 20:29,Madhya Pradesh,792784,782162,10523,99,27.0
18,2021-10-27 21:12,Madhya Pradesh,792804,782172,10524,108,20.0
19,2021-10-28 21:02,Madhya Pradesh,792823,782184,10524,115,19.0
