,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,,Maharashtra,6577872,6401287,139542,33449,
1,2021-10-11 18:26,Maharashtra,6579608,6404320,139578,32115,1736.0
2,,Maharashtra,6581677,6407936,139621,30525,2069.0
3,,Maharashtra,6583896,6411075,139670,29555,2219.0
4,,Maharashtra,6586280,6413418,139705,29560,2384.0
5,2021-10-15 16:09,Maharashtra,6588429,6415316,139734,29782,2149.0
6,,Maharashtra,6589982,6416998,139760,29627,1553.0
7,,Maharashtra,6591697,6419678,139789,28631,1715.0
8,,Maharashtra,6593182,6421756,139816,28008,1485.0
9,,Maharashtra,6594820,6424547,139865,26805,1638.0
10,,Maharashtra,6596645,6427426,139886,25728,1825.0
11,,Maharashtra,6598218,6430394,139925,24292,1573.0
12,,Maharashtra,6599850,6432138,139965,24138,1632.0
13,,Maharashtra,6601551,6433919,139998,24022,1701.0
14,,Maharashtra,6602961,6435439,140016,23894,1410.0
15,,Maharashtra,6603850,6437025,140028,23184,889.0
16,,Maharashtra,6605051,6438395,140060,22981,1201.0
17,,Maharashtra,6606536,6443342,140098,19480,1485.0
18,,Maharashtra,6607954,6445454,140134,18748,1418.0
19,,Maharashtra,6609292,6447038,140170,18465,1338.0
20,,Maharashtra,6609906,6449186,140196,16905,614.0
21,,Maharashtra,6611078,6450585,140216,16658,1172.0
