,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Manipur,122003,118389,1885,1729,
1,2021-10-11 18:26,Manipur,122108,118516,1885,1707,105.0
2,2021-10-12 18:19,Manipur,122228,118908,1887,1433,120.0
3,2021-10-13 11:55,Manipur,122363,119015,1889,1459,135.0
4,2021-10-14 18:35,Manipur,122432,119099,1889,1444,69.0
5,2021-10-15 20:28,Manipur,122545,119208,1893,1444,113.0
6,2021-10-16 19:18,Manipur,122633,119316,1895,1422,88.0
7,2021-10-17 22:08,Manipur,122737,119418,1897,1422,104.0
8,2021-10-18 20:51,Manipur,122804,119524,1897,1383,67.0
9,2021-10-19 20:07,Manipur,122899,119640,1901,1358,95.0
10,2021-10-20 23:12,Manipur,122970,119706,1904,1360,71.0
11,2021-10-21 12:29,Manipur,123051,119800,1905,1346,81.0
