,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Meghalaya,82487,80012,1423,1052,
1,2021-10-12 15:19,Meghalaya,82580,80134,1425,1021,93.0
2,2021-10-13 11:55,Meghalaya,82647,80296,1428,923,67.0
3,2021-10-14 13:34,Meghalaya,82734,80411,1431,892,87.0
4,2021-10-15 20:28,Meghalaya,82815,80490,1432,893,81.0
5,2021-10-16 14:28,Meghalaya,82898,80587,1434,877,83.0
6,2021-10-17 17:04,Meghalaya,82953,80673,1435,845,55.0
7,2021-10-18 09:28,Meghalaya,83014,80799,1438,777,61.0
8,2021-10-19 01:04,Meghalaya,83079,80900,1439,740,65.0
9,2021-10-20 11:35,Meghalaya,83158,80958,1439,761,79.0
10,2021-10-21 12:29,Meghalaya,83210,81034,1441,735,52.0
11,2021-10-22 18:10,Meghalaya,83269,81128,1443,698,59.0
12,2021-10-23 13:21,Meghalaya,83322,81184,1443,695,53.0
13,2021-10-24 18:04,Meghalaya,83371,81286,1446,639,49.0
