,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Nagaland,31449,29505,671,259,
1,2021-10-11 18:26,Nagaland,31473,29529,671,257,24.0
2,2021-10-12 21:19,Nagaland,31492,29557,673,247,19.0
3,2021-10-13 11:55,Nagaland,31507,29580,673,238,15.0
4,2021-10-14 18:35,Nagaland,31516,29597,673,230,9.0
5,2021-10-15 20:28,Nagaland,31547,29625,674,228,31.0
6,2021-10-16 19:18,Nagaland,31571,29639,674,236,24.0
7,2021-10-17 22:08,Nagaland,31611,29667,674,248,40.0
8,2021-10-18 20:51,Nagaland,31627,29676,675,252,16.0
9,2021-10-19 20:07,Nagaland,31641,29693,676,247,14.0
10,2021-10-20 11:35,Nagaland,31659,29702,676,255,18.0
11,2021-10-21 12:29,Nagaland,31670,29717,677,250,11.0
12,2021-10-22 18:10,Nagaland,31689,29738,677,248,19.0
13,2021-10-22 21:15,Nagaland,31689,29738,678,245,0.0
