,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Puducherry,127095,124608,1848,639,
1,2021-10-12 12:18,Puducherry,127151,124686,1848,617,56.0
2,2021-10-13 11:55,Puducherry,127210,124710,1849,651,59.0
3,2021-10-14 13:34,Puducherry,127259,124763,1849,647,49.0
4,2021-10-15 20:28,Puducherry,127296,124836,1849,611,37.0
5,2021-10-16 14:28,Puducherry,127344,124897,1849,598,48.0
6,2021-10-17 17:04,Puducherry,127396,124961,1850,585,52.0
7,2021-10-18 09:28,Puducherry,127424,125051,1850,523,28.0
8,2021-10-19 01:04,Puducherry,127479,125137,1852,490,55.0
9,2021-10-20 11:35,Puducherry,127521,125208,1852,461,42.0
