,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Punjab,601876,585111,16531,234,
1,2021-10-11 21:51,Punjab,601894,585134,16531,229,18.0
2,2021-10-12 23:20,Punjab,601913,585167,16531,215,19.0
3,2021-10-14 09:34,Punjab,601938,585183,16532,223,25.0
4,2021-10-14 22:35,Punjab,601968,585199,16538,231,30.0
5,2021-10-16 13:28,Punjab,601992,585224,16540,228,24.0
6,2021-10-16 21:18,Punjab,602008,585248,16541,219,16.0
7,2021-10-17 22:08,Punjab,602035,585264,16544,227,27.0
8,2021-10-18 22:22,Punjab,602059,585296,16544,219,24.0
9,2021-10-20 08:34,Punjab,602081,585316,16549,216,22.0
10,2021-10-20 23:12,Punjab,602113,585331,16550,232,32.0
11,2021-10-22 08:29,Punjab,602135,585358,16551,226,22.0
