,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Rajasthan,954359,945368,8954,37,
1,2021-10-11 18:26,Rajasthan,954366,945377,8954,35,7.0
2,2021-10-12 20:19,Rajasthan,954370,945380,8954,36,4.0
3,2021-10-13 11:55,Rajasthan,954374,945384,8954,36,4.0
4,2021-10-14 20:35,Rajasthan,954382,945386,8954,42,8.0
5,2021-10-15 20:28,Rajasthan,954383,945389,8954,40,1.0
6,2021-10-16 20:18,Rajasthan,954388,945390,8954,44,5.0
7,2021-10-17 22:08,Rajasthan,954390,945394,8954,42,2.0
8,2021-10-18 20:51,Rajasthan,954392,945395,8954,43,2.0
9,2021-10-19 20:07,Rajasthan,954392,945400,8954,38,0.0
10,2021-10-20 23:12,Rajasthan,954393,945401,8954,38,1.0
11,2021-10-21 20:45,Rajasthan,954395,945405,8954,36,2.0
12,2021-10-22 21:15,Rajasthan,954396,945410,8954,32,1.0
13,2021-10-24 12:33,Rajasthan,954400,945414,8954,32,4.0
14,2021-10-25 08:36,Rajasthan,954402,945417,8954,31,2.0
15,2021-10-25 21:37,Rajasthan,954403,945432,8954,17,1.0
16,2021-10-26 20:29,Rajasthan,954407,945433,8954,20,4.0
17,2021-10-27 21:12,Rajasthan,954411,945437,8954,20,4.0
18,2021-10-28 20:02,Rajasthan,954418,945438,8954,26,7.0
19,2021-10-29 21:27,Rajasthan,954424,945440,8954,30,6.0
