,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Sikkim,31667,30694,388,268,
1,2021-10-11 18:26,Sikkim,31677,30736,388,235,10.0
2,2021-10-12 23:49,Sikkim,31698,30767,389,224,21.0
3,2021-10-13 11:55,Sikkim,31716,30783,390,225,18.0
4,2021-10-15 13:58,Sikkim,31722,30790,390,224,6.0
5,2021-10-15 20:28,Sikkim,31739,30841,391,189,17.0
6,2021-10-16 22:19,Sikkim,31745,30854,391,182,6.0
7,2021-10-17 17:04,Sikkim,31749,30866,391,174,4.0
8,2021-10-18 19:51,Sikkim,31756,30882,391,165,7.0
9,2021-10-19 17:07,Sikkim,31783,30892,392,181,27.0
10,2021-10-20 23:12,Sikkim,31800,30914,393,175,17.0
11,2021-10-21 12:29,Sikkim,31819,30923,393,185,19.0
12,2021-10-22 13:29,Sikkim,31842,30947,393,183,23.0
13,2021-10-23 21:22,Sikkim,31868,30960,394,195,26.0
14,2021-10-24 19:04,Sikkim,31900,30987,394,200,32.0
15,2021-10-25 20:37,Sikkim,31904,31010,394,181,4.0
16,2021-10-26 21:29,Sikkim,31912,31022,395,176,8.0
17,2021-10-27 21:12,Sikkim,31925,31030,395,177,13.0
18,2021-10-28 20:02,Sikkim,31939,31041,395,178,14.0
19,2021-10-29 17:27,Sikkim,31948,31052,395,176,9.0
20,2021-10-30 20:31,Sikkim,31958,31055,395,183,10.0
