,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Tamil Nadu,2678265,2626352,35783,16130,
1,2021-10-11 21:51,Tamil Nadu,2679568,2627780,35796,15992,1303.0
2,2021-10-12 21:19,Tamil Nadu,2680857,2629201,35814,15842,1289.0
3,2021-10-13 19:55,Tamil Nadu,2682137,2630654,35833,15650,1280.0
4,2021-10-14 21:35,Tamil Nadu,2683396,2632092,35853,15451,1259.0
5,2021-10-15 20:28,Tamil Nadu,2684626,2632492,35868,16266,1230.0
6,2021-10-15 21:28,Tamil Nadu,2684641,2633534,35869,15238,15.0
7,2021-10-16 19:18,Tamil Nadu,2685874,2634968,35884,15022,1233.0
8,2021-10-17 21:08,Tamil Nadu,2687092,2636379,35899,14814,1218.0
9,2021-10-18 20:51,Tamil Nadu,2688284,2637802,35912,14570,1192.0
10,2021-10-19 20:07,Tamil Nadu,2689463,2639209,35928,14326,1179.0
