,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Telangana,667887,659722,3930,4235,
1,2021-10-11 18:26,Telangana,668070,659942,3932,4196,183.0
2,2021-10-12 22:20,Telangana,668266,660143,3933,4190,196.0
3,2021-10-13 22:49,Telangana,668450,660305,3934,4211,184.0
4,2021-10-14 21:35,Telangana,668618,660512,3935,4171,168.0
5,2021-10-15 22:28,Telangana,668722,660730,3936,4056,104.0
6,2021-10-16 22:19,Telangana,668833,660917,3937,3979,111.0
7,2021-10-17 22:08,Telangana,668955,661093,3938,3924,122.0
8,2021-10-18 20:51,Telangana,669163,661294,3940,3929,208.0
9,2021-10-19 20:07,Telangana,669365,661484,3941,3940,202.0
10,2021-10-20 23:12,Telangana,669556,661646,3942,3968,191.0
11,2021-10-21 22:35,Telangana,669739,661829,3943,3967,183.0
12,2021-10-22 21:15,Telangana,669932,662025,3944,3963,193.0
13,2021-10-23 22:26,Telangana,670139,662209,3946,3984,207.0
14,2021-10-24 21:04,Telangana,670274,662377,3947,3950,135.0
