,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Uttar Pradesh,1709954,1686917,22896,141,
1,2021-10-11 22:51,Uttar Pradesh,1709965,1686928,22895,142,11.0
2,2021-10-12 22:20,Uttar Pradesh,1709985,1686945,22895,145,20.0
3,2021-10-13 19:55,Uttar Pradesh,1709996,1686960,22897,139,11.0
4,2021-10-14 22:35,Uttar Pradesh,1710008,1686976,22897,135,12.0
5,2021-10-15 21:28,Uttar Pradesh,1710014,1686984,22897,133,6.0
6,2021-10-16 20:18,Uttar Pradesh,1710019,1686992,22898,129,5.0
7,2021-10-17 19:03,Uttar Pradesh,1710028,1687011,22898,119,9.0
8,2021-10-19 01:04,Uttar Pradesh,1710036,1687015,22898,123,8.0
9,2021-10-19 21:07,Uttar Pradesh,1710047,1687031,22898,118,11.0
10,2021-10-21 09:28,Uttar Pradesh,1710058,1687048,22898,112,11.0
11,2021-10-22 08:29,Uttar Pradesh,1710068,1687062,22899,107,10.0
12,2021-10-23 09:21,Uttar Pradesh,1710069,1687085,22899,85,1.0
13,2021-10-24 12:33,Uttar Pradesh,1710082,1687089,22899,94,13.0
14,2021-10-25 08:36,Uttar Pradesh,1710095,1687093,22899,103,13.0
15,2021-10-26 08:25,Uttar Pradesh,1710097,1687101,22899,97,2.0
16,2021-10-26 23:28,Uttar Pradesh,1710101,1687108,22899,94,4.0
