,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Uttarakhand,343668,329991,7396,172,
1,2021-10-11 18:26,Uttarakhand,343675,330007,7396,162,7.0
2,2021-10-12 18:19,Uttarakhand,343695,330022,7397,158,20.0
3,2021-10-13 20:55,Uttarakhand,343701,330032,7397,153,6.0
4,2021-10-14 21:35,Uttarakhand,343729,330036,7397,175,28.0
5,2021-10-16 13:28,Uttarakhand,343739,330041,7397,179,10.0
6,2021-10-16 20:18,Uttarakhand,343747,330047,7397,177,8.0
7,2021-10-17 21:08,Uttarakhand,343756,330054,7397,178,9.0
8,2021-10-18 20:51,Uttarakhand,343759,330058,7397,176,3.0
9,2021-10-19 21:07,Uttarakhand,343765,330065,7397,175,6.0
